feature,score
impact,0.23537747644665755
dog,0.23525674887965012
take,0.2326726739977359
complain,0.23188996435585799
interest,0.2299069673612554
care,0.2291528345452856
feel,0.22822956381133225
animal,0.22696963270906134
place,0.22575487221399165
charge,0.2250370285574343
challenge,0.22401485683002148
success,0.2230450744794304
loss url,0.2201162239932905
decline,0.21965414982289372
video,0.21876386384418073
health url,0.21736814635698376
tour,0.2171590097845898
interesting,0.2165806097899573
USER research,0.2149648899434056
total,0.21467433276167194
recommend,0.21466497990480599
old,0.21445827113617436
identify,0.21391228004316182
try,0.20985064373039408
quit,0.20938923756945604
press,0.2062859903455079
child,0.20498689242694437
space,0.2024036405865432
fund,0.2007311575745624
fast,0.19955973743913977
boy,0.19896659848684078
saturday,0.19810100653993887
facebook,0.19725947016327167
stay,0.19684897318554176
hour,0.1946999080189848
american,0.1940346445249101
able,0.19297534445568892
day stop,0.1914911030095374
scholar,0.1913785965467124
traffic,0.1903501703831193
well,0.1895703818753494
user USER,0.18951753728942455
car,0.18920685065534382
london,0.18898338413888385
false,0.18814681690167046
huge,0.18780995445943113
cardiac arrest,0.18595569111557902
major,0.1831073636927147
mean,0.18248070460582796
time,0.1814875999445216
result,0.1790269870782336
report USER,0.17824137368437265
reach,0.1776734488216638
leave,0.175595001584277
likely,0.17362394671508655
link,0.17275204935414745
wave,0.17194366232814629
town,0.16962563165748862
million,0.16947005641006763
congress,0.16727610310615523
account,0.16282170555896536
administration,0.16052545329097148
mental,0.15926857676917971
come,0.15793683306246964
attend,0.15605004204848874
min,0.15525324958630388
symptom,0.15520465072251743
worker,0.15491650664624368
drop,0.1516457321366402
post,0.1486300386882904
box,0.14249308575228098
earth,0.14153289238986935
cost,0.14027808166719918
google,0.13928472133403735
emergency,0.13830195705441328
syndrome,0.13772550513118395
live,0.1376320108212006
everyday,0.13728510439983022
summer,0.13638121733232272
exist,0.1339910497076943
problem,0.1339638429848279
mind,0.13039767247075146
step,0.1267279832570833
illness,0.12591811477125686
indian,0.12377521065896913
delay,0.12272204947423737
need stop,0.1206677932917239
release,0.12035583196232158
rate,0.11968563392919121
propaganda,0.11951205838270551
project,0.11877401903791579
suspend,0.11852391424912996
kill,0.11543808371519786
growth,0.11383705263577466
chill,0.10996564312637971
street,0.10985295460914432
threat,0.10928613402582427
terrorist,0.10675882975169725
twitter,0.10654833480504805
plant,0.1038517739638759
info,0.10324748913555247
trend,0.10245386848266003
effect,0.0991023990838486
chief,0.09810999088092091
build,0.0977548724026049
sunday,0.09732651669764418
message,0.09556195011243934
buy,0.08830667680990673
1st,0.08716958450277011
oral,0.084771646264415
start,0.0838395134730637
target,0.08378939434344604
true,0.08306088721279348
pain,0.0825999624982048
labour,0.08206896698447907
pass,0.081853804094205
ask,0.0810117185131321
USER need,0.07817779548879256
education,0.0721437316600394
early,0.07132205175870379
require,0.0706217132303634
support team,0.06971624280967217
real,0.06968288224497993
amazing,0.06928439875128434
new,0.06702410727181829
month,0.06683178511015311
eye,0.06637382261618485
eat,0.06518292600692155
honor,0.062022266771938506
history,0.05945906048373797
african,0.05936513951205588
human,0.05918024968016164
thank,0.05888529463226494
set,0.057621139723765286
future,0.05703461923131525
fall,0.056446051271159606
brexit,0.05631299367593834
heart,0.054517357358647725
date,0.05369438904888167
let,0.05248120239230042
cancer url,0.05221726651113269
remember,0.04880226311834371
love support,0.04880226311834371
medium,0.048596280519262805
want,0.0476461391530022
fact,0.04566900812277164
end,0.042705650026784
network,0.040882192971893494
comment,0.03964372356070631
urge,0.038087827415385744
wait,0.03536618348322337
sharp,0.03316081518181263
state,0.0318120844874841
city,0.031393154615493635
person,0.03106160069930626
different,0.029275202266499947
sit,0.026480722639132037
revenue,0.02114874321971405
good,0.01845497696255538
activity,0.018252395779362718
have,0.012870704634656227
affect,0.012831549543757204
attack,0.01282309088834592
simple,0.012712500811503491
wing,0.011341189175098382
bad,0.009752378072481707
war,0.009347474008037482
here,0.006154888016001016
bias,0.0037370896850444577
issue,0.001878846772924582
url support,0.0
spread,0.0
stop spread,0.0
suggest,0.0
block,0.0
mueller,0.0
